N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
985;Gestionnaire de flux de production;Industrie;Logistique;Opérationnel;BTS Logistique ou Licence pro Supply Chain Management;1 600€ → 3 500€/mois;Le gestionnaire de flux de production optimise la circulation des matières et des produits au sein d'un atelier ou d'une usine. Il planifie les ordres de fabrication, gère les stocks intermédiaires, identifie les goulots d'étranglement et met en place des solutions lean pour fluidifier la production.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;V;;;V;;;V;V;H1403;;
986;Gestionnaire de produits bancaires;"Banque - finance ; Commerce";Commercial;Opérationnel;Bac+3 à Bac+5 (Licence pro Banque ou master marketing bancaire);1 900€ → 6 000€/mois;Le gestionnaire de produits bancaires développe et améliore les offres de produits financiers (comptes, épargne, crédits, cartes). Il analyse les besoins des clients, suit les tendances du marché, coordonne le lancement des nouveaux produits et assure leur rentabilité.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;V;;;V;V;C1204;;
987;Gestionnaire des opérations sur les marchés financiers;"Banque - finance ; Commerce";Finance;Opérationnel;Bac+5 (master finance de marché ou école de commerce spécialité marchés financiers);1 900€ → 6 000€/mois;Le gestionnaire des opérations sur les marchés financiers traite et contrôle les opérations d'achat et de vente de titres, de devises ou de produits dérivés. Il vérifie la conformité des transactions, gère les positions et assure le règlement-livraison des opérations.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;V;;;V;V;C1302;;
988;Glaciologue;"Environnement ; Bâtiment - construction";Scientifique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le glaciologue étudie les glaciers, les calottes polaires et les phénomènes liés à la glace. Il réalise des mesures de terrain dans des environnements extrêmes, analyse la composition des carottes de glace pour reconstituer les paléoclimats et surveille le recul des glaciers face au réchauffement.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1123;V;
989;Goémonier;Agriculture;Production et fabrication;Opérationnel;Aucun diplôme requis — formation pratique;1 400€ → 2 200€/mois;Le goémonier récolte les algues marines (goémon) sur les côtes rocheuses, à la main ou à l'aide d'engins spécialisés. Il fournit cette matière première à l'industrie cosmétique, agroalimentaire ou à l'agriculture comme engrais naturel.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1427;V;
990;Gouvernant;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Gestion de projet;Opérationnel;CAP Hôtellerie ou BTS Hôtellerie-restauration + expérience gouvernante;1 600€ → 3 500€/mois;Le gouvernant ou la gouvernante supervise le service des chambres dans un hôtel. Il ou elle manage l'équipe de femmes de chambre, contrôle la propreté et la mise en ordre des chambres, gère le linge et les produits d'entretien et veille à la satisfaction des clients.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1503;;
991;Grutier;Bâtiment - construction;Production et fabrication;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le grutier manœuvre une grue de chantier pour soulever et déplacer des matériaux et des éléments de structure. Il travaille en cabine en hauteur ou à distance, interprète les signaux des équipes au sol et veille en permanence à la sécurité des manœuvres et de son environnement.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1301;;
992;Guide-conférencier;Voyages - tourisme;Accueil et service client;Opérationnel;Licence ou Master Histoire/Art + carte professionnelle guide-conférencier;1 600€ → 3 500€/mois;Le guide-conférencier accompagne des groupes de visiteurs dans des musées, des monuments et des sites historiques ou naturels. Il délivre des commentaires culturels riches et accessibles, s'adapte à chaque public et contribue à la valorisation du patrimoine.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1222;;
993;Guide de haute montagne;"Sport ; Voyages - tourisme";Activité sportive;Opérationnel;Brevet d'État Guide de Haute Montagne (BGHM) - concours très sélectif;1 600€ → 3 500€/mois;Le guide de haute montagne encadre des alpinistes et des randonneurs en milieu montagnard difficile. Il organise et dirige des ascensions, des courses d'alpinisme et des randonnées glaciaires, assure la sécurité des cordées et transmet sa passion de la montagne.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1228;;
994;Guide de tourisme équestre;"Voyages - tourisme ; Animalier";Accueil et service client;Opérationnel;BPJEPS Equitation ou Titre Professionnel Guide de Tourisme Équestre;1 600€ → 3 500€/mois;Le guide de tourisme équestre organise et encadre des randonnées à cheval pour des groupes de cavaliers. Il connaît les itinéraires, gère les chevaux sur le terrain, assure la sécurité des participants et transmet sa passion pour la nature et l'équitation.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1230;;
995;Guide-accompagnateur;Voyages - tourisme;Accueil et service client;Opérationnel;BTS Tourisme + formation accompagnateur de voyage;1 600€ → 3 500€/mois;Le guide-accompagnateur prend en charge des groupes de touristes pendant la durée complète d'un voyage ou d'une excursion. Il assure les transferts, présente les sites, gère les relations avec les prestataires locaux et veille au confort et à la sécurité des participants.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;P;;V;;;;;;V;V;G1201;;
996;Guide-interprète;Voyages - tourisme;Accueil et service client;Opérationnel;BTS Tourisme + DEUST Tourisme + maîtrise de langues étrangères;1 600€ → 3 500€/mois;Le guide-interprète accompagne des visiteurs étrangers dans la découverte d'un territoire en les guidant dans leur langue. Il présente les sites culturels, historiques et naturels, adapte ses commentaires aux attentes de son groupe et facilite les échanges avec les populations locales.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1227;;
997;Gynécologue;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Doctorat (chimie, biochimie);2 200€ → 5 000€/mois;La gynécologue est un médecin spécialiste de la santé féminine. Elle assure le suivi gynécologique (frottis, contraception, ménopause), dépiste les cancers féminins et prend en charge les pathologies de l'utérus, des ovaires et des seins.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;J1111;;
998;Hématologue;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Doctorat (chimie, biochimie);2 200€ → 5 000€/mois;L'hématologue est un médecin spécialiste des maladies du sang et des organes hématopoïétiques. Il diagnostique et traite les leucémies, lymphomes, anémies et troubles de la coagulation, et peut réaliser ou superviser des greffes de moelle osseuse.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;J1117;;
999;Historien;"Chimie - biologie - science ; Culture ; Enseignement";Scientifique;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'historien étudie les sociétés humaines passées à travers les sources écrites, archéologiques et orales. Il analyse les documents, les replace dans leur contexte, formule des interprétations et publie des travaux qui éclairent la compréhension du présent à la lumière du passé.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2140;;
1000;Hydraulicien industriel;"Industrie ; Électronique";Installation et/ou maintenance;Opérationnel;BTS Maintenance industrielle ou DUT Génie mécanique + spécialisation hydraulique;1 600€ → 3 500€/mois;L'hydraulicien industriel installe, règle et entretient les systèmes hydrauliques (vérins, pompes, distributeurs) utilisés dans les machines-outils et les engins de manutention. Il diagnostique les fuites et les dysfonctionnements, remplace les composants défectueux et réalise les tests de pression.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;I1313;;
1001;Hydrologue;"Environnement ; Bâtiment - construction";Scientifique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;L'hydrologue étudie les eaux continentales (rivières, nappes phréatiques, lacs) et leur cycle. Il mesure les débits, modélise les crues et les sécheresses, gère les ressources en eau et conseille les collectivités sur la prévention des inondations et la gestion durable de l'eau.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1124;V;
1003;Ingénieur;Industrie;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en nan conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;V;V;;;;;V;;H1520;;
1004;Inspecteur de santé publique;Médical - santé - Pharmaceutique;Qualité - conformité;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'inspecteur de santé publique contrôle la conformité des établissements de santé, des denrées alimentaires et des conditions sanitaires dans les collectivités. Il enquête sur les épidémies, veille au respect des réglementations sanitaires et propose des mesures de prévention.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2117;;
1005;Installateur-poseur;Bâtiment - construction;Installation et/ou maintenance;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;L'installateur-poseur pose des équipements, des menuiseries ou des systèmes techniques dans les bâtiments. Selon sa spécialité (fenêtres, volets, climatisation, cuisine), il mesure, découpe, fixe et régle les éléments installés en garantissant leur bon fonctionnement.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1708;;
1006;Instrumentiste Industriel;"Industrie ; Électronique";Ingénierie et conception technique;Opérationnel;BTS Électrotechnique ou DUT Mesures physiques + spécialisation instrumentation;1 600€ → 3 500€/mois;L'instrumentiste industriel installe et maintient les instruments de mesure et de régulation (capteurs, analyseurs, débitmètres) sur les installations industrielles. Il assure l'étalonnage des appareils, programme les boucles de régulation et diagnostique les écarts de mesure.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;I1318;;
1007;Interprète;"Communication ; Commerce international ; Politique";Traduction;Opérationnel;Bac+3 à Bac+5 (communication, journalisme);2 000€ → 5 000€/mois;L'interprète traduit oralement et en temps réel les propos d'un locuteur dans une autre langue. En interprétation simultanée (en cabine) ou consécutive (après prise de notes), il restitue fidèlement le sens, le registre et le ton du discours lors de conférences ou négociations.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;P;;V;V;;;;;V;V;E1123;;
1008;Jardinier;Agriculture;Production et fabrication;Opérationnel;CAP Jardinier à Bac Pro Aménagements paysagers;1 500€ → 2 200€/mois;Le jardinier entretient des espaces verts privés ou publics. Il taille les haies et arbustes, tond les pelouses, entretient les massifs floraux et réalise des plantations saisonnières pour embellir et maintenir les jardins, parcs et espaces collectifs.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1208;V;
1009;Joaillier;"Art ; Artisanat";Conception graphique et esthétique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;;V;V;;;V;;V;;B1606;;
1010;Kinésithérapeute;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+5 (Diplôme d'État de Masso-kinésithérapie);2 200€ → 4 000€/mois;Le kinésithérapeute rééduque des patients souffrant de troubles moteurs suite à blessure, opération ou maladie, à travers des techniques manuelles et des exercices.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;V;;;V;;V;;V;;J1404;;
1011;Laveur;"Industrie ; Médical - santé - Pharmaceutique";Entretien et nettoyage;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le laveur industriel nettoie des pièces mécaniques, des équipements ou des surfaces dans un contexte industriel. Il utilise des machines de lavage haute pression, des solvants ou des procédés chimiques pour éliminer graisses, huiles et résidus, et prépare les pièces pour les étapes suivantes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2202;;
