Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Jardinier;"Agriculture ; Environnement";Production;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le jardinier entretient et embellit les espaces verts : tonte, taille, plantation, arrosage. Il intervient chez des particuliers, dans des collectivités ou des entreprises d'espaces verts.;CAP Jardinier paysagiste à Bac Pro CGEA;1 600€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;A1208;Emploi Vert;
Joaillier;"Artisanat ; Luxe ; Mode - textile";Artisanat;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;Le joaillier crée des bijoux en métaux et pierres précieuses, souvent pour le marché du luxe. Il maîtrise les techniques de mise en forme, sertissage et finition pour des pièces de haute joaillerie.;CAP Bijoutier à BMA Joaillerie-bijouterie de luxe;2 000€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;B1606;Emploi Blanc;
Kinésithérapeute;Chimie - biologie - science;Médical;;Opérationnel;;;;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;Le kinésithérapeute rééduque des patients souffrant de troubles moteurs suite à blessure, opération ou maladie, à travers des techniques manuelles et des exercices.;Bac+5 (Diplôme d'État de Masso-kinésithérapie);2 200€ → 4 000€/mois;Oui;;;Oui;;Oui;;Oui;;J1404;Emploi Blanc;
Laveur;"Industrie ; Bâtiment - construction ; Médical - santé - Pharmaceutique";Entretien - nettoyage;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le laveur assure le nettoyage de surfaces, équipements ou véhicules. Il peut intervenir sur des vitres en hauteur, des carrosseries ou des cuves industrielles selon sa spécialisation.;Formation nettoyage industriel + CACES si nécessaire;1 600€ → 2 300€/mois;Oui;Oui;;;;Oui;;Oui;;K2202;Emploi Blanc;
Lecteur;"Édition et métier du livre - littérature ; Communication";Étude et expertise;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le lecteur pour maison d'édition lit et évalue les manuscrits soumis par les auteurs. Il rédige des rapports de lecture et formule des recommandations sur le potentiel éditorial des textes.;Bac+3 à Bac+5 (lettres, édition);1 500€ → 3 000€/mois;Oui;Oui;;;;Oui;;Oui;;K2131;Emploi Blanc;
Lecteur-correcteur;Communication;Communication;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;P;Ce professionnel de la communication conçoit et diffuse des messages pour valoriser l'image et les activités d'une organisation.;Bac+3 à Bac+5 (communication, journalisme);2 000€ → 5 000€/mois;;Oui;Oui;;;;;Oui;Oui;E1312;Emploi Blanc;
Machiniste en fabrications de panneaux de bois;"Industrie ; Bâtiment - construction";Production;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le machiniste spécialisé en panneaux de bois conduit les machines de découpe, placage et pressage dans une usine de fabrication de panneaux. Il effectue les réglages et contrôle la qualité des panneaux.;CAP Menuisier à Bac Pro TBI;1 700€ → 2 600€/mois;;;Oui;;;Oui;Oui;Oui;;H2203;Emploi stratégique pour la Transition écologique;
Machiniste spectacle;"Cinéma - audiovisuel ; Art ; Spectacle - diverstissement";Conception artistique;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;P;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;L1506;Emploi Blanc;
Maçon;Bâtiment - construction;Technique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le maçon réalise les travaux de gros œuvre : fondations, murs porteurs, planchers en béton. Il maîtrise les matériaux de construction et les techniques d'assemblage et de ferraillage.;CAP Maçon à Bac Pro Technicien du bâtiment;1 800€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;F1703;Emploi stratégique pour la Transition écologique;
Magasinier;"Transport - logistique - approvisionnement ; Commerce ; Industrie";Logistique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le magasinier gère les stocks dans un entrepôt ou un magasin. Il réceptionne les marchandises, les range, prépare les commandes et effectue les inventaires de contrôle.;CAP Opérateur logistique à CACES;1 650€ → 2 400€/mois;;;;;;Oui;Oui;Oui;Oui;N1110;Emploi Blanc;
Maître;"Agriculture ; Enseignement";Formation - coaching;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le maître artisan ou le maître de stage transmet son savoir-faire à des apprentis. En agriculture, il accueille des stagiaires et les forme aux techniques de son exploitation.;Diplôme selon spécialité + expérience;2 000€ → 4 000€/mois;;;;;;Oui;Oui;Oui;;A1446;Emploi Blanc;
Manipulateur;Médical - santé - Pharmaceutique;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le manipulateur en électroradiologie réalise les examens d'imagerie médicale sur prescription : radiographies, scanners, IRM. Il prépare les patients et veille à leur radioprotection.;BTS Manipulateur en électroradiologie médicale;2 200€ → 3 200€/mois;;;Oui;;;Oui;;Oui;Oui;J1306;Emploi Blanc;
Mannequin;Cinéma - audiovisuel;Conception artistique;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;P;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;L1102;Emploi Blanc;
Maquettiste en électronique;"Électronique ; Informatique - numérique - digital ; Industrie";Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le maquettiste en électronique réalise des prototypes de circuits électroniques pour tester les fonctionnalités avant la production en série. Il soude les composants, câble les cartes et effectue les mesures de contrôle.;Bac Pro Électrotechnique à BTS Électronique;2 000€ → 3 500€/mois;;;Oui;;;Oui;Oui;Oui;;H1227;Emploi Blanc;
Maréchal-ferrant;"Animalier ; Artisanat ; Agriculture";Artisanat;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le maréchal-ferrant pose et entretient les fers des chevaux. Il forge les fers sur mesure, coupe les sabots et prévient les pathologies podales des équidés.;Brevet professionnel de maréchal-ferrant;2 000€ → 3 500€/mois;;;;;;Oui;Oui;Oui;;A1502;Emploi Blanc;
Marin-pêcheur;"Nautique - metiers de la mer ; Agriculture";Production;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le marin-pêcheur part en mer pour capturer des poissons et crustacés. Il manipule les engins de pêche, conditionne les prises et contribue à l'entretien quotidien du bateau.;CAP Maritime Pêche à Bac Pro Maritime;1 600€ → 3 000€/mois (variable);;;;;;Oui;Oui;Oui;;A1415;Emploi Blanc;
Maroquinier;"Artisanat ; Mode - textile ; Luxe";Artisanat;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;Le maroquinier fabrique des articles en cuir : sacs, portefeuilles, ceintures. Il coupe, assemble et finit les pièces à la main avec les techniques propres aux grandes maisons de luxe françaises.;CAP Maroquinerie à BMA Maroquinerie de luxe;1 800€ → 3 500€/mois;;Oui;Oui;;;Oui;;Oui;;B1802;Emploi Blanc;
Mécanicien;"Automobile ; Industrie ; Aéronautique et transport aérien";Installation et/ou maintenance;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le mécanicien diagnostique les pannes des véhicules ou machines et effectue les réparations. Il contrôle les organes mécaniques, remplace les pièces usées et réalise les révisions périodiques.;CAP Maintenance des véhicules à Bac Pro;1 800€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;I1604;Emploi stratégique pour la Transition écologique;
Mécanicien-réparateur;"Automobile ; Industrie ; Agriculture";Installation et/ou maintenance;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le mécanicien-réparateur intervient sur des pannes de véhicules ou machines. Il effectue le diagnostic, remplace les pièces défectueuses et contrôle le bon fonctionnement après réparation.;CAP Maintenance des véhicules à Bac Pro MVTEC;1 800€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;I1620;Emploi Blanc;
Médecin Anesthésiste Réanimateur;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1124;Emploi Blanc;
Médecin de la Protection Maternelle et Infantile;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1109;Emploi Blanc;
Médecin du sport;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1126;Emploi Blanc;
Médecin du travail et de prévention;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1101;;
Médecin généraliste;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1102;;
Médecin régulateur;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1108;Emploi Blanc;
Médecin scolaire;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1107;Emploi Blanc;
Médecin urgentiste;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1127;Emploi Blanc;
Média planneur;Communication;Communication;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;P;Ce professionnel de la communication conçoit et diffuse des messages pour valoriser l'image et les activités d'une organisation.;Bac+3 à Bac+5 (communication, journalisme);2 000€ → 5 000€/mois;;Oui;Oui;;;;;Oui;Oui;E1402;Emploi Blanc;
Menuisier;"Artisanat ; Industrie ; Bâtiment - construction";Artisanat;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le menuisier fabrique et pose des ouvrages en bois : portes, fenêtres, escaliers, meubles. Il lit les plans, sélectionne les bois, réalise les pièces sur machine et assure la pose sur chantier.;CAP Menuisier à Bac Pro BOIS;1 800€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;H2206;Emploi stratégique pour la Transition écologique;
Métallier;"Artisanat ; Industrie ; Bâtiment - construction";Production;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;Le métallier fabrique des ouvrages métalliques pour le bâtiment et la construction : portails, garde-corps, rampes, charpentes métalliques. Il soude, découpe et assemble les éléments selon les plans.;CAP Métallier à Bac Pro OFB;1 800€ → 3 200€/mois;;Oui;Oui;;;Oui;;Oui;;B1601;Emploi Blanc;
Metteur;Cinéma - audiovisuel;Conception artistique;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;P;Ce professionnel du cinéma et de l'audiovisuel participe à la création, production ou diffusion d'œuvres audiovisuelles.;Bac+2 à Bac+5 (audiovisuel, cinéma, école spécialisée);1 800€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;L1301;Emploi Blanc;
Modéliste industriel;"Mode - textile ; Industrie";Conception esthétique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le modéliste industriel trace et met au point les patrons de vêtements pour la production en série. Il réalise les gradations et s'assure de la conformité des modèles aux spécifications.;CAP Modélisme à Bac Pro TCI;1 800€ → 3 000€/mois;;;Oui;;;Oui;Oui;Oui;;H1205;Emploi Blanc;
Modiste;"Mode - textile ; Art ; Luxe ; Artisanat";Conception esthétique;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;La modiste crée des coiffures et chapeaux sur mesure pour des occasions particulières. Elle maîtrise les techniques de fabrication artisanale et suit les tendances de la haute couture.;CAP Modiste à diplôme de chapelier;1 600€ → 3 500€/mois;;Oui;Oui;;;Oui;;Oui;;B1801;Emploi Blanc;
